File,SubjectCN,ValidFrom,ValidTo
,Arrowhead Game Studios AB,,
,CD PROJEKT S.A.,,
,ConcernedApe,,
,Electronic Arts Inc.,,
,Electronic Arts Switzerland Sàrl,,
,"Epic Games, Inc.",,
,"FromSoftware, Inc.",,
,Larian Studios,,
,Microsoft Corporation,,
,Mojang AB,,
,"Riot Games, Inc.",,
,"Rockstar Games, Inc.",,
,Valve Corporation,,
,WB Games Inc.,,
