SubjectCN,Category,FileName
Spotify AB,Media,Spotify
Radionomy,Media,Radionomy
Apple Inc.,Media,Apple Inc.
Peter Pawlowski,Media,Peter Pawlowski
Gretech Corp.,Media,Gretech Corp.
Tixati Software Inc.,Piracy,Tixati Software Inc.
Bigly Software,Piracy,Bigly Software
RapidSeedbox Ltd,Piracy,RapidSeedbox Ltd
Global Microtrading PTE. LTD,Piracy,Global Microtrading PTE. LTD
Rainberry Inc,Piracy,Rainberry Inc
Azureus Software,Piracy,Azureus Software
SHAREit Technologies Co.Ltd,Piracy,SHAREit Technologies Co.Ltd
Lime Wire LLC,Piracy,Lime Wire LLC
Musiclab,Piracy,Musiclab
SignPath Foundation,Piracy,SignPath Foundation
Softdeluxe LLC,Piracy,Softdeluxe LLC
FrostWire LLC,Piracy,FrostWire LLC
Open Source Developer,Piracy,Open Source Developer
BitTorrent Inc,Piracy,BitTorrent
Open Source Developer,Piracy,Open Source Developer
mutandinhxua.com,Malware,Potential Malware
Manhoods,Malware,Potential Malware
Digital Wave Ltd,Malware,Potential Malware
AN Soft,Malware,Potential Malware
Flexera Software LLC,Malware,Potential Malware
Undeluged,Malware,Potential Malware
Skaalpundet,Malware,Potential Malware
DauLue Intention Fly Network Technology Co.,Malware,Potential Malware
Bureaukrat,Malware,Potential Malware
Carbon,Malware,Potential Malware
Presters,Malware,Potential Malware
Systweak Software,Malware,Potential Malware
Testversion,Malware,Potential Malware
Arkfderkontrollen,Malware,Potential Malware
Transportkontorer,Malware,Potential Malware
Tommy Tech LTD,Malware,Potential Malware
STATPLUS LE,Malware,Potential Malware
ELLEN SOFTWARE SOLUTIONS LTD,Malware,Potential Malware
MIXBYTE,Malware,Potential Malware
Jesus Ginard,Malware,Potential Malware
TAOBAO (CHINA) SOFTWARE CO.,Malware,Potential Malware
Teinoscope,Malware,Potential Malware
Tenorshare (Hongkong) Limited,Malware,Potential Malware
Outbyte Computing Pty Ltd,Malware,Potential Malware
Lower Tribeca Corp IBC,Malware,Potential Malware
Distributive Corp,Malware,Potential Malware
Carphophis,Malware,Potential Malware
Trakteringers,Malware,Potential Malware
Varebeskrivelser,Malware,Potential Malware
TEHTRI-Security S.A.S,Malware,Potential Malware
Prolific Technology Inc.,Malware,Potential Malware
STATPLUS,Malware,Potential Malware
Bednighted,Malware,Potential Malware
Xing Wang,Malware,Potential Malware
Bulwark Exterminating,Malware,Potential Malware
GlobalSign GCC,Malware,Potential Malware
ITPRODUCTDEV LTD,Malware,Potential Malware
Tenorshare Co.,Malware,Potential Malware
Shenzhen Hanshunxin Electronic Technology Co.,Malware,Potential Malware
jonbytnings,Malware,Potential Malware
NetEase Youdao Information Technology (Beijing) Co.,Malware,Potential Malware
barrikadens Breposens Epimerum,Malware,Potential Malware
MAD PANDA LTD,Malware,Potential Malware
Koderen,Malware,Potential Malware
Tophus,Malware,Potential Malware
Teinoscope,Malware,Potential Malware
Take-Two Interactive Software,Malware,Potential Malware
4Neurons .com,Malware,Potential Malware
SIMENS USA portable,Malware,Potential Malware
Thereat Relativitetsteoris,Malware,Potential Malware
Eftermndenes,Malware,Potential Malware
Tilflyttende,Malware,Potential Malware
REINVENTING MULTI-CORE ARCHITECTURE \0BUP TO INTEL® CORE™ I7-12650H PROCESSOR,Malware,Potential Malware
Mineralolierne,Malware,Potential Malware
8CB43675-F44B-4AA5-9372-E8727781BDC4,Malware,Potential Malware
iWin,Malware,Potential Malware
Tyndtarmsbetndelser,Malware,Potential Malware
Kitware,Malware,Potential Malware
encell,Malware,Potential Malware
Nikl Design Ltd,Malware,Potential Malware
EngineGame,Malware,Potential Malware
IDMELON TECHNOLOGIES INC.,Malware,Potential Malware
Forebringelse Tornysterets Casco,Malware,Potential Malware
Skaalpundet,Malware,Potential Malware
*.coachbuild.com,Malware,Potential Malware
MetaQuotes Ltd,Malware,Potential Malware
WoTrus CA Limited,Malware,Potential Malware
raonmedia,Malware,Potential Malware
Modvrge,Malware,Potential Malware
Dobbeltcirklers,Malware,Potential Malware
