Customer,Workspace,DeviceId,AlertTime
zijpe,6aa470ed-e1e6-46b9-932b-15cb3e07f729,9bf858136211585de2d57d7d9a955f8b3b40e6bb,2025-07-31T07:38:50.6317709Z
urmond,be645fc6-5b7c-47f5-bed3-b111ecb0f4e4,3b2c46b23d79750cbea8a8ec85275b8cd0e342da,2025-08-06T13:14:05.1956444Z
urmond,be645fc6-5b7c-47f5-bed3-b111ecb0f4e4,ff97802931b563389f58b4ac7b03c3ab2a2b0308,2025-08-06T11:24:46.7310877Z
urmond,be645fc6-5b7c-47f5-bed3-b111ecb0f4e4,1085423a3ad365ff82f74150647b28c9fb367974,2025-08-08T07:35:02.1197375Z
urmond,be645fc6-5b7c-47f5-bed3-b111ecb0f4e4,ea2fcefbf28f1237463293a4d9546b356ab5d80e,2025-08-06T12:39:40.2909835Z
urmond,be645fc6-5b7c-47f5-bed3-b111ecb0f4e4,6d0032cb5f31443f86d5978729bf1b2bde4004d4,2025-08-06T11:44:55.3993622Z
urmond,be645fc6-5b7c-47f5-bed3-b111ecb0f4e4,fafa71d6fb813ae3e99575ae5f577aeb009ce766,2025-08-06T14:04:49.3205467Z
urmond,be645fc6-5b7c-47f5-bed3-b111ecb0f4e4,422500564e66c8e07779a42e7a996dbac454ba46,2025-08-06T14:34:11.6790628Z
urmond,be645fc6-5b7c-47f5-bed3-b111ecb0f4e4,382aecc65f1f040f794ceb6a5153c51393f5fba5,2025-08-01T07:04:36.5724846Z
urmond,be645fc6-5b7c-47f5-bed3-b111ecb0f4e4,38f7429c766708868809c6afa4aff03a1837e388,2025-07-30T13:04:35.1260664Z
urmond,be645fc6-5b7c-47f5-bed3-b111ecb0f4e4,421c562178d2842aac075d0675f1735d8ad41381,2025-08-05T11:59:20.535192Z
urmond,be645fc6-5b7c-47f5-bed3-b111ecb0f4e4,03c4558561a5c85cbf894ad1c9d476e3233c9b86,2025-08-06T12:24:26.9187913Z
urmond,be645fc6-5b7c-47f5-bed3-b111ecb0f4e4,4c3448c7f54f89dabae1552761964ec23e38dfea,2025-08-06T11:39:52.9121025Z
urmond,be645fc6-5b7c-47f5-bed3-b111ecb0f4e4,591faebe87fb0a168f0894502e652b2bc83db04d,2025-08-07T09:44:57.4490953Z
urmond,be645fc6-5b7c-47f5-bed3-b111ecb0f4e4,356ff376c13e365ae1528b2022d44a1d30e28750,2025-08-06T14:49:25.7537324Z
urmond,be645fc6-5b7c-47f5-bed3-b111ecb0f4e4,cbf33533c996cd5e27422fc50853b5ab7ec6173e,2025-07-31T08:24:27.1883743Z
gorinchem,d58acd9d-2a10-401d-9e83-49c96dfd2db1,32def438cc5d82daa0a0644161712cb0febad6fd,2025-08-01T06:44:24.4061321Z
gorinchem,d58acd9d-2a10-401d-9e83-49c96dfd2db1,acc8f5c937a7635dca667e8b91dd270252a396b6,2025-08-01T08:04:22.6937243Z
gorinchem,d58acd9d-2a10-401d-9e83-49c96dfd2db1,800215dcbf281b7f13208af007b10fa7f3f946c5,2025-08-01T07:09:41.4847948Z
vierhouten,56bb6238-afe1-4a12-8a42-bb778e8aaf09,c707dfa27a88758547317861f08f249bc3ffda26,2025-08-08T07:44:52.3496605Z
